rep,ciclo,imsi,ue_id,pid,sucesso,latencia_sf,consumo_pct
2,8,49138,1010,412,1,50,1.6064
2,8,70955,299,12224,1,58,1.5564
2,8,24036,484,10844,1,65,1.5152
2,8,77860,36,12892,1,64,1.5209
2,8,57548,204,14316,1,68,1.4981
2,8,66036,500,3700,1,70,1.4870
2,8,27533,909,7504,1,79,1.4388
2,8,10005,789,360,1,79,1.4388
2,8,64501,1013,12932,1,79,1.4337
2,16,44413,381,9760,1,4,0.9317
2,16,49358,206,13080,1,5,0.9288
2,16,61854,414,14232,1,9,0.9174
2,16,77310,510,3564,1,14,0.9036
2,16,82303,383,9152,1,25,0.8772
2,16,28896,224,1560,1,31,0.8621
2,16,74211,483,1208,1,61,0.7916
2,16,21427,947,13376,1,64,0.7853
2,16,36709,869,9156,1,80,0.7538
2,16,62709,245,13564,1,84,0.7463
2,16,47622,518,8020,1,85,0.7444
2,16,58614,246,11148,1,95,0.7264
2,16,77814,1014,3636,1,94,0.7282
2,16,88647,583,2452,1,95,0.7264
2,16,95831,599,3688,1,100,0.7177
2,16,48681,553,15164,1,120,0.6849
2,16,31259,539,3468,1,139,0.6565
2,16,55451,155,9576,1,139,0.6565
2,16,70059,427,13028,1,141,0.6550
2,16,72060,380,15272,1,155,0.6342
3,2,80683,811,2944,1,4,5.4187
3,2,67461,901,1472,1,6,5.3659
3,2,42429,445,6656,1,5,5.3922
3,2,31781,37,13864,1,5,5.3922
3,2,83821,877,14856,1,5,5.3922
3,2,94245,37,2500,1,5,5.3922
3,2,76069,293,14784,1,5,5.3922
3,2,27463,839,1840,1,9,5.2885
3,2,45823,767,14016,1,10,5.2632
3,2,52448,224,13336,1,11,5.2381
3,2,93264,80,9056,1,10,5.2632
3,2,94584,376,7800,1,10,5.2632
3,2,39106,194,13324,1,15,5.1402
3,2,85060,68,14892,1,15,5.1402
3,2,86694,678,9764,1,20,5.0459
3,2,93774,590,12920,1,19,5.0459
3,2,17057,673,5232,1,20,5.0228
3,2,88825,761,8160,1,20,5.0228
3,2,15281,945,3692,1,20,5.0228
3,2,75057,305,10800,1,20,5.0228
3,4,73639,935,7992,1,4,2.9557
3,4,75047,295,8960,1,3,2.9703
3,4,27783,135,12764,1,4,2.9703
3,4,92567,407,7608,1,3,2.9703
3,4,66583,23,3448,1,3,2.9703
3,4,91488,352,3344,1,9,2.8846
3,4,28480,832,13060,1,10,2.8846
3,4,63684,196,8984,1,13,2.8302
3,4,94168,984,9544,1,14,2.8169
3,4,64588,76,14636,1,19,2.7650
3,4,82857,937,14232,1,24,2.6906
3,4,37933,45,5308,1,29,2.6316
3,4,65805,269,9140,1,29,2.6316
3,4,27901,253,2452,1,28,2.6432
3,4,11394,130,15272,1,29,2.6316
3,4,46422,342,11880,1,33,2.5862
3,4,55638,342,13028,1,33,2.5862
3,4,43946,938,9760,1,34,2.5751
3,4,23674,122,8428,1,34,2.5751
3,4,62446,1006,7148,1,39,2.5316
3,8,89743,655,12524,1,5,1.4706
3,8,16351,991,14892,1,9,1.4423
3,8,84872,904,11388,1,14,1.4019
3,8,69800,168,6344,1,14,1.4085
3,8,32296,552,15352,1,14,1.4085
3,8,58224,880,9056,1,15,1.4019
3,8,67352,792,3348,1,19,1.3761
3,8,58753,385,15264,1,20,1.3699
3,8,58802,434,6392,1,36,1.2766
3,8,19907,451,14740,1,40,1.2552
3,8,30627,931,1872,1,40,1.2552
3,8,25627,27,3368,1,50,1.6064
3,8,53452,204,1616,1,54,1.5748
3,8,23565,13,10784,1,64,1.5209
3,8,57141,821,12092,1,65,1.5152
3,8,13053,765,6272,1,69,1.4925
3,8,10574,334,11316,1,74,1.4652
3,8,56758,438,9308,1,76,1.4545
3,8,19606,150,8516,1,75,1.4599
3,8,96446,190,13864,1,79,1.4388
3,16,37911,23,5748,1,5,0.9288
3,16,91752,616,11552,1,16,0.8982
3,16,52681,457,5736,1,22,0.8850
3,16,86745,729,1612,1,26,0.8746
3,16,37993,105,2756,1,26,0.8721
3,16,40363,427,15276,1,46,0.8242
3,16,80491,619,1208,1,46,0.8242
3,16,80572,700,15220,1,60,0.7937
3,16,48846,718,14568,1,72,0.7712
3,16,75390,638,5436,1,81,0.7519
3,16,21681,177,14444,1,110,0.7009
3,16,76866,66,1584,1,111,0.6993
3,16,18514,82,8132,1,116,0.6912
3,16,52723,499,10888,1,130,0.6696
3,16,65092,580,12164,1,131,0.6682
3,16,50548,372,9152,1,140,0.6536
3,16,94068,884,2384,1,141,0.6550
3,16,30597,901,15252,1,142,0.6536
3,16,60229,837,13376,1,141,0.6536
3,16,67414,854,9160,1,155,0.6342
